site_id,state,project_name,n_months,mean_target_diff_mm,mean_control_diff_mm,mean_gap_diff_mm,mean_abs_target_diff_mm,mean_abs_control_diff_mm,mean_abs_gap_diff_mm,rmse_target_diff_mm,rmse_control_diff_mm,rmse_gap_diff_mm
site_131,utah,,276,-1.9835188750000003,-5.411861720108695,3.4283428451086957,9.99540675978261,11.198957601268114,10.70387235561594,13.743937815964465,14.971324582024273,15.258978549536828
site_020,california,,276,-11.92366607176087,-16.38454298878261,4.460876917021739,13.075737365456519,17.465335162514496,10.677217918753623,23.136645876427473,30.228802542040537,18.649083028750866
site_007,california,,276,-3.7645243650978255,-12.863533602434781,9.099009237336956,4.866411897887681,13.588238048985508,10.376376387539853,9.080179249961692,23.807783221982657,18.459604592689075
site_039,colorado,,276,-5.700353791304348,-2.4680795481884057,-3.232274243115943,15.80601876666667,9.134462959057972,10.09171124673913,21.990523102415384,12.277078300937987,14.033778729548327
site_101,texas,,276,7.387417873949276,4.977142332018116,2.4102755419311594,11.362861534528985,11.22200683443116,8.490190700278987,19.855400766901436,18.74330391967923,14.750634938765696
site_135,wyoming,,276,-7.374293622644927,-7.580075836956522,0.2057822143115941,9.818056903804347,11.091666154347827,8.343265853079709,12.47710674738941,13.795852653375583,11.305038660232471
site_014,california,Mokelumne Cloud Seeding Program,276,-15.3152351167029,-16.38454298878261,1.0693078720797098,16.22898241198551,17.465335162514496,6.1225780662391305,29.569139499529324,30.228802542040537,10.768215834054054
site_016,california,,276,-16.03257961778261,-12.863533602434781,-3.1690460153478264,16.491090211115942,13.588238048985508,6.094224629485508,29.18037638351516,23.807783221982657,9.922556509366173
site_126,utah,,276,-6.587580206702898,-5.411861720108695,-1.1757184865942027,12.013962948731884,11.198957601268114,5.971548916304347,15.617556660559138,14.971324582024273,8.460499858384717
site_012,california,Kings River Cloud Seeding Program,276,-21.48663791363804,-16.38454298878261,-5.102094924855435,22.03775791048587,17.465335162514496,5.913896372246739,38.28762342523421,30.228802542040537,11.110607258942233
site_013,california,,276,-16.38454298878261,-12.863533602434781,-3.5210093863478265,17.465335162514496,13.588238048985508,5.382391228717391,30.228802542040537,23.807783221982657,9.656006874747536
site_128,utah,,276,-7.9350323831521745,-6.437081150543478,-1.497951232608696,12.265481659239128,11.503645329528984,2.3465773869565214,15.863754202683335,15.101568770768527,3.399335959057511
site_136,wyoming,,276,-3.776851337681159,-3.7539861057971016,-0.022865231884057882,10.868380577536234,10.667745342028985,0.8164804347826087,14.506699601184966,13.988324125138783,1.6795065714466988
site_082,oklahoma,,276,4.171243966666666,4.171243966666666,0.0,25.77707359347826,25.77707359347826,0.0,35.30755196798727,35.30755196798727,0.0
site_108,texas,,276,4.888746958804347,4.888746958804347,0.0,23.849981688297103,23.849981688297103,0.0,35.6074653016533,35.6074653016533,0.0
site_052,idaho,,276,-8.155831148188406,-8.155831148188406,0.0,14.369998742391305,14.369998742391305,0.0,18.781550031007733,18.781550031007733,0.0
site_059,kansas,,276,-1.1384383351449274,-1.1384383351449274,0.0,21.27508706847826,21.27508706847826,0.0,31.929707878643942,31.929707878643942,0.0
site_077,north_dakota,,276,-8.146074047463767,-8.146074047463767,0.0,14.773366569202897,14.773366569202897,0.0,19.570049318824495,19.570049318824495,0.0
site_084,south_dakota,,276,-8.282627833695653,-8.282627833695653,0.0,14.875428027173909,14.875428027173909,0.0,21.49951995196322,21.49951995196322,0.0
